Stanley Pinker, 1924-2012
Isabella Quattrocchi,
Ephraim Ngatane, 1938-1971
Douglas Portway, 1922-1993
Tienie Pritchard, 1938-
Le Roux Smith Le Roux, 1914-1963
Anton van Wouw, 1862-1945
Maggie Laubser, 1886-1973
Johannes Oldert, 1912-1984
Dada Coex'ae Qgam, 1934-
Athi-Patra Ruga, 1984-
Albert Newall, 1920-1989
Vladimir Tretchikoff, 1913-2006
Andrew Putter, 1965-
George Pemba, 1912-2001
Nico Roos, 1940-2008
Alfred Palmer, 1877-1951
Nesta Nala, 1940 - 2005
Ruth Prowse, 1883-1967
Alexis Preller, 1911-1975
Georgina Ormiston, 1903-1967
Simphiwe Ndzube, 1990-
Christiaan Nice, 1939-
Erik Laubscher, 1927-2013
Sue Pam-Grant, 1962-
Jody Paulsen, 1987-
Robin Rhode, 1976-
Sam Nhlengethwa in collaboration with Zwelethu Mthethwa, 20th Century
Hylton Nel, 1941-
Nhlanhla Ben Nsusha, 1947-
Robyn Penn, 1973-
Jan Neethling, 1938-
Phillip Rikhotso, 1945-2015
Stefanus Rademeyer, 1976-
Hugo Naudé, 1868-1941
Christian Nerf, 1970-
Edward Roworth, 1880-1964
Robert Hodgins, 1920-2010
William Kentridge, 1955-
Hennie Niemann Snr, 1941-
Jabu Nala, 1969-
Ilse Pahl, 1972-
Walter Battiss, 1906-1982
Ntombi Nala, 1953-
Walter Oltmann, 1960-
Jacob Hendrik Pierneef, 1886-1957
Tracey Rose, 1974-
Frans Oerder, 1867-1944
Neil Rodger, 1941-2013
Dan Rakgoathe, 1937-2004
Cameron Platter, 1978-
Richard Penn, 1976-
Irma Stern, 1894-1966
Godfrey Ndaba, 1947-
Marianne Podlashuc, 1932-2006
Wonderboy Nxumalo, 1975-2008
Johannes Phokela, 1966-
Sam Nhlengethwa, 1955-
Kevin Roberts, 1965-2009
Gregoire Boonzaier, 1909-2005
Hennie Niemann Jnr, 1972-
Sam Nhlengethwa in collaboration with Robert Hodgins, 1955-
Sipho Ndlovu, 1968-
Sam Nhlengethwa and Robert Hodgins, 20th Century
Hargreaves Ntukwana, 1938-1998
Ndikhumbule Ngqinambi, 1977 -
Alison Roux,/Italian 1934-
Bonakele (Bonnie) Ntshalintshali, 1967-1999
Deborah Poynton, 1970 -
Alexander Podlashuc, 1930-2009
Karel Nel, 1955-
George William Pilkington, 1879-1958
Catherine Paynter, 1949-
Blessing Ngobeni, 1985-
Michael Pettit, 1950-
André Naudé, 1950-
Mongezi Ncaphayi, 1983-
Alexander Rose-Innes, 1915-1996
Colin Richards, 1954 - 2012
Marcus Neustetter, 1976-
Stanley Nkosi, 1945-1988
Cecil Skotnes, 1926-2009
Patrick O'Connor, 1940-
Fred Page, 1908-1984
Dino Paravano, 1935-
Hermann Niebuhr, 1972-
Mashego Johannes Segogela, 1936-
Conrad Theys, 1940-
Angus Taylor, 1970-
Cyprian Shilakoe, 1946-1972
Richard Scott, 1968-
Helena Stegman, 1921-
Rupert Shephard, 1909-1992
Clément Sénèque, 1896-1930
Anton van Wouw, 1862-1945
George Salisbury Smithard, 1873-1919
Eris Silke, 1947-
Lyndi Sales, 1973-
Johannes Smith, 1886-1954
Maggie Laubser, 1886-1973
Mary Sibande, 1982-
Mmakgabo Mmapula Helen Sebidi, 1943-
Harry Trevor, 1922-1970
Vladimir Tretchikoff, 1913-2006
Fred Schimmel, 1928-2009
Anton Smit, 1954 -
Coert Laurens Steynberg, 1905-1982
Alexis Preller, 1911-1975
Zolani Siphungela, 1986-
Berni Searle, 1964-
Durant Sihlali, 1935-2004
Erik Laubscher, 1927-2013
Martin Qgibinsizi Tose, 1958-2004
Winston Saoli, 1950-1995
Penny Siopis, 1953-
Lucas Sithole, 1931-1994
Willie Saayman, 1962-
Bambo Sibiya, 1986-
Alice Tennant, 1890-1976
Michael Taylor, 1979-
Stella Shawzin, 1923-
Cecil Thornley Stewart, 1881-1967
Pippa Skotnes, 1957-
Ulrich Schwanecke, 1932-2007
Simon Stone, 1952-
Helmut Starcke, 1935-2017
Robert Hodgins, 1920-2010
Paul Stopforth, 1945-
William Kentridge, 1955-
Frank Spears, 1906-1991
Lionel Smit, 1982-
Mikhael Subotzky, 1981-
Walter Battiss, 1906-1982
Paul Sekete, 1957-
Gerard Sekoto, 1913-1993
Cecily Sash, 1924-2019
Jacob Hendrik Pierneef, 1886-1957
Rowan Smith, 1983-
Guy Tillim, 1962-
Paul Stein, 1956 -
Ruth Audrey Squibb, 1928-
Lucky Sibiya, 1942-1999
Jonah Sack, 1978-
Dr Phuthuma Seoka, 1922-1995
Irma Stern, 1894-1966
Senzo Shabangu, 1985-
Clement Serneels, 1912-1991
James Thackwray, 1919-1994
Jürgen Schadeberg, 1931-
Barbara Tyrrell, 1912-2015
Gregoire Boonzaier, 1909-2005
Robert Slingsby, 1955-
Moses Tladi, 1903-1959
Henk Serfontein, 1971-
Larry Scully, 1922-2002
Henry Symonds, 1949-
Alfred Thoba, 1951-
William Timlin, 1892-1943
Reginald Turvey, 1882-1968
Johannes Antonie Smith, 1886 - 1954
Nita Spilhaus,German/ 1878-1967
Peter Schütz, 1942-2008
Wilma Stockenström and Judith Mason, 21st Century
Penny Stutterheim, 1958-
Rhona Stern, 1914-1998
Otto Schröder, 1913-1975
Cecil Skotnes, 1926-2009
David Tomlinson, 1941-
Themba Shibase, 1980-
Christopher Tugwell, 1938-
Richard John Templeton Smith, 1947-
Bongani Peter Shange, 1951-
Claudette Schreuders, 1973-
Maud Sumner, 1902-1985
Malibongwe Shangase, 1983-
Joachim Schönfeldt, 1958-
Ed Young, 1978-
